QueryString,PredictedLabel
cs1513 c# } expected,FALSE
cs2001 c# source file could not be found.,FALSE
cs1001 c# identifier expected,FALSE
ide0055 c# fix formatting,FALSE
cs7036 c# there is no argument given that corresponds to the required formal parameter of,FALSE
cs0006 test c# metadata file could not be found,FALSE
cs0117 c# does not contain a definition for,FALSE
cs0161 c# '': not all code paths return a value,FALSE
c# dictionary,TRUE
cs0165 c# use of unassigned local variable,FALSE
c# list,TRUE
cs0122 c# is inaccessible due to its protection level,FALSE
c# switch,TRUE
cs0017 c# program has more than one entry point defined. compile with /main to specify the type that contains the entry point.,FALSE
cs0162 c# unreachable code detected,TRUE
ad0001 c# analyzer threw an exception of type 'system.nullreferenceexception' with message 'object reference not set to an instance of an object.'.,FALSE
c# array,TRUE
cs0579 c# duplicate attribute,FALSE
cs8370 c# feature is not available in c# 7.3. please use language version 8.0 or greater.,FALSE
c# substring,TRUE
cs1591 c# missing xml comment for publicly visible type or member,FALSE
ide0018 c# variable declaration can be inlined,FALSE
cs1503 c# argument 1: cannot convert from to,FALSE
ide0059 c# unnecessary assignment of a value to,FALSE
cs0169 c# the field is never used,FALSE
c# foreach,TRUE
cs1061 c# 'form1' does not contain a definition for and no accessible extension method accepting a first argument of type 'form1' could be found (are you missing a using directive or an assembly reference?),FALSE
cs1009 c# unrecognized escape sequence,FALSE
cs0108 c# hides inherited member. use the new keyword if hiding was intended.,FALSE
cs1061 c# does not contain a definition for and no extension method accepting a first argument of type could be found (are you missing a using directive or an assembly reference?),FALSE
c# for loop,TRUE
cs0121 c# the call is ambiguous between the following methods or properties: and,FALSE
cs0229 c# ambiguity between and,FALSE
cs0219 c# the variable is assigned but its value is never used,FALSE
cs1056 c# unexpected character,FALSE
c sharp programming,TRUE
c# regex,TRUE
cs0642 c# possible mistaken empty statement,FALSE
c# ??,TRUE
cs1106 c# extension method must be defined in a non-generic static class,TRUE
c# datetime,TRUE
ide0028 c# collection initialization can be simplified,FALSE
cs0414 c# the field is assigned but its value is never used,FALSE
cs0246 test c# the type or namespace name could not be found (are you missing a using directive or an assembly reference?),FALSE
cs1012 c# too many characters in character literal,FALSE
c# tuple,TRUE
cs1955 c# non-invocable member cannot be used like a method.,FALSE
cs1525 c# invalid expression term ')',FALSE
cs0234 c# the type or namespace name 'linq' does not exist in the namespace 'system' (are you missing an assembly reference?),FALSE
c# convert string to int,TRUE
cs0246 c# the type or namespace name 'system' could not be found (are you missing a using directive or an assembly reference?),FALSE
c# using,TRUE
cs1520 c# method must have a return type,TRUE
cs0051 c# inconsistent accessibility: parameter type is less accessible than method,FALSE
c# switch case,TRUE
cs0101 c# the namespace already contains a definition for,FALSE
c# datetime format,TRUE
cs0656 c# missing compiler required member 'microsoft.csharp.runtimebinder.csharpargumentinfo.create',FALSE
c# delegate,TRUE
cs1010 c# newline in constant,FALSE
cs0176 c# member cannot be accessed with an instance reference; qualify it with a type name instead,FALSE
cs0149 c# method name expected,TRUE
ide0060 c# remove unused parameter 'args',FALSE
cs0111 c# type already defines a member called with the same parameter types,FALSE
json to c#,TRUE
cs0102 c# the type already contains a definition for,FALSE
c# interface,TRUE
c# to vb.net,TRUE
cs0103 c# the name 'initializecomponent' does not exist in the current context,FALSE
cs0168 c# the variable 'ex' is declared but never used,FALSE
c# timer,TRUE
c# try catch,TRUE
c# string interpolation,TRUE
c# switch statement,TRUE
foreach c#,TRUE
enc1003 c# changes made in project will not be applied while the application is running,FALSE
c# struct,TRUE
